Test Number,Number of Vertices,Number of Edges,Time to Read Graph (s),Time to Find Path (s),Path Found?
0,1,0,0.001295,0.000004,1
1,1,0,0.001295,0.000003,1
2,1,0,0.001295,0.000001,1
3,2,1,0.001295,0.000003,1
4,2,1,0.001295,0.000002,1
5,2,1,0.001295,0.000001,1
6,3,1,0.001295,0.000005,0
7,3,3,0.001295,0.000002,1
8,3,1,0.001295,0.000003,0
9,4,3,0.001295,0.000012,0
10,4,2,0.001295,0.000006,0
11,4,0,0.001295,0.000002,0
12,5,2,0.001295,0.000006,0
13,5,2,0.001295,0.000005,0
14,5,7,0.001295,0.000003,1
15,6,0,0.001295,0.000003,0
16,6,7,0.001295,0.000021,1
17,6,9,0.001295,0.000008,1
18,7,4,0.001295,0.000011,0
19,7,3,0.001295,0.000007,0
20,7,9,0.001295,0.000121,0
21,8,26,0.001295,0.000004,1
22,8,9,0.001295,0.000010,1
23,8,15,0.001295,0.000012,1
24,9,8,0.001295,0.000046,0
25,9,32,0.001295,0.000005,1
26,9,27,0.001295,0.000004,1
27,10,22,0.001295,0.000011,1
28,10,8,0.001295,0.000065,0
29,10,26,0.001295,0.000005,1
30,11,11,0.001295,0.000123,0
31,11,22,0.001295,0.000005,1
32,11,19,0.001295,0.000005,1
33,12,0,0.001295,0.000005,0
34,12,6,0.001295,0.000015,0
35,12,46,0.001295,0.000006,1
36,13,35,0.001295,0.000005,1
37,13,57,0.001295,0.000006,1
38,13,76,0.001295,0.000006,1
39,14,48,0.001295,0.000044,1
